,id,factor_id,property_name,property_value,unit,description,data_entry_by,formula
321,1819173389190045712,1819173389059887104,Label_Biogenic_material_C,2.7e-05,kg,,吴宇森,
322,1819173389190045713,1819173389059887104,Label_Biogenic_material_CO2,9.9e-05,kg,,吴宇森,
323,1819173389190045714,1819173389059887104,TOTAL_Packaging_materials_Weight,0.3,kg,,吴宇森,
324,1819173389190045715,1819173389059887104,TOTAL_Packaging_materials_Weight_percent,3.39,,,吴宇森,
325,1819173389190045716,1819173389059887104,TOTAL_Packaging_materials_Biogenic_material_C,0.0139,kg,,吴宇森,
326,1819173389190045717,1819173389059887104,TOTAL_Packaging_materials_Biogenic_material_CO2,0.51,kg,,吴宇森,
327,1819174491344084992,1819174491180371968,Acrylic_copolymers_Weight,0.899,kg,,吴宇森,
328,1819174491344084993,1819174491180371968,Fillers_Weight,0.031,kg,,吴宇森,
329,1819174491344084994,1819174491180371968,Additives_Weight,0.029,kg,,吴宇森,
330,1819174491344084995,1819174491180371968,Water_Weight,0.041,kg,,吴宇森,
331,1819174491344084996,1819174491180371968,Total_product_Weight,1.0,kg,,吴宇森,
332,1819174491344084997,1819174491180371968,Plastic_parts_HDPE_Weight,0.183,kg,,吴宇森,
