id,factor_id,property_name,property_value,unit,description,data_entry_by,formula
1818437599308816384,1818437599275126784,Additives,6.0,%,,吴宇森,
1818437599308816385,1818437599275126784,Solvents,30.0,%,,吴宇森,
1818437599308816386,1818437599275126784,Resins,64.0,%,,吴宇森,
1818437599308816387,1818437599275126784,Weight,100.0,%,,吴宇森,
1818437816405991424,1818437816368107520,Aggregates,95.5,%,,吴宇森,
1818437816405991425,1818437816368107520,Conventional bitumen,4.1,%,,吴宇森,
1818437816405991426,1818437816368107520,Modified bitumen,0.4,%,,吴宇森,
1818438118882418688,1818438118844534784,%Weight_Aggregates,92.4,%,,吴宇森,
1818438118882418689,1818438118844534784,%Weight_Modified_bitumen,5.3,%,,吴宇森,
1818438118882418690,1818438118844534784,%Weight_Others,2.3,%,,吴宇森,
1818438632193925120,1818438632147652608,PPS,0.0503,kg,,吴宇森,
1818438632193925121,1818438632147652608,"PA6,6 reinforced with glass-fiber",0.0487,kg,,吴宇森,
1818438632193925122,1818438632147652608,EPDM,0.001,kg,,吴宇森,
1818438632193925123,1818438632147652608,Weight,1.0,kg,,吴宇森,
1818438632193925124,1818438632147652608,LDPE,0.0127,kg,,吴宇森,
1818438632193925125,1818438632147652608,Corrugated board,0.0885,kg,,吴宇森,
1818439048642174976,1818439048566542336,PPS_Weight,0.404,kg,,吴宇森,
1818439048642174977,1818439048566542336,Brass_Weight,0.486,kg,,吴宇森,
1818439048642174978,1818439048566542336,PA6_6_reinforced_with_glass_fiber_Weight,0.107,kg,,吴宇森,
1818439048642174979,1818439048566542336,EPDM_Weight,0.003,kg,,吴宇森,
1818439048642174980,1818439048566542336,TOTAL_Product_Weight,1.0,kg,,吴宇森,
1818439048642174981,1818439048566542336,LDPE_Weight,0.0075,kg,,吴宇森,
1818439048642174982,1818439048566542336,Corrugated_board_Weight,0.0418,kg,,吴宇森,
1818439048642174983,1818439048566542336,TOTAL_Packaging_Materials_Weight,0.0494,kg,,吴宇森,
1818439048642174984,1818439048566542336,Biogenic_carbon_weight_%_versus_product,4.9,%,,吴宇森,
1818439048642174985,1818439048566542336,Biogenic_carbon_weight_kg,0.0189,kg,,吴宇森,
1818439397587296256,1818439397549412352,Thickness,30.0,mm,,吴宇森,
1818439397587296257,1818439397549412352,Glass wool,0.63,kg/m2,,吴宇森,
1818439397587296258,1818439397549412352,Weight,0.63,kg/m2,,吴宇森,
1818439397587296259,1818439397549412352,Thickness,30.0,mm,,吴宇森,
1818439397587296260,1818439397549412352,Plastic Packaging,0.006,kg/m2,,吴宇森,
1818439397587296261,1818439397549412352,Wood Pallet,0.056,kg/m2,,吴宇森,
1818439397587296262,1818439397549412352,Weight-% (versus the product),10.0,%,,吴宇森,
1818439535928025088,1818439535881752576,%Weight_Aggregates,94.0,%,,吴宇森,
1818439535928025089,1818439535881752576,%Weight_Conventional_bitumen,1.6,%,,吴宇森,
1818439535928025090,1818439535881752576,%Weight_Modified_bitumen,3.1,%,,吴宇森,
1818439535928025091,1818439535881752576,%Weight_Others,1.2,%,,吴宇森,
1818439535928025092,1818439535881752576,"Post-consumer_material,weight-%_Others",0.3,%,,吴宇森,
1818439976313167872,1818439976262701056,Aggregates,93.4,%Weight,,吴宇森,
1818439976313167873,1818439976262701056,Modified bitumen,5.7,%Weight,,吴宇森,
1818439976313167874,1818439976262701056,"Others (sand, cellulose fibers, additives, etc.)",1.0,%Weight,,吴宇森,
1818439976313167875,1818439976262701056,Weight,100.0,%Weight,,吴宇森,
1818440517676179456,1818440517617324032,Steel_wire_Weight,1.0,kg,,吴宇森,
1818441105214283776,1818441105105096704,Steel,8390.0,kg,,吴宇森,
1818441105214283777,1818441105105096704,isocyanates,2480.0,kg,,吴宇森,
1818441105214283778,1818441105105096704,Chemical components,1622.0,kg,,吴宇森,
1818441105214283779,1818441105105096704,Others non chemical,0.014,kg,,吴宇森,
1818441105214283780,1818441105105096704,Weight,12.51,kg,,吴宇森,
1818441105214283781,1818441105105096704,PE,0.057,kg,,吴宇森,
1818441105214283782,1818441105105096704,EPS,0.058,kg,,吴宇森,
1818441105214283783,1818441105105096704,madera,0.015,kg,,吴宇森,
1818441105214283784,1818441105105096704,TOTAL Packaging,0.131,kg,,吴宇森,
1818444808705024000,1818444808641974272,Acrylicacid,23.09,kg,,吴宇森,
1818444808705024001,1818444808641974272,Acrylonitrile-butadiene-styrenecopolymer,111.91,kg,,吴宇森,
1818444808705024002,1818444808641974272,"Alkydpaint,white,withoutwater,in60%solutionstate",2.13,kg,,吴宇森,
1818444808705024003,1818444808641974272,Alkydresin,7.79,kg,,吴宇森,
1818444808705024004,1818444808641974272,"Aluminiumalloy,AlMg3",336.45,kg,,吴宇森,
1818444808705024005,1818444808641974272,"Aluminiumalloy,metalmatrixcomposite",0.82,kg,,吴宇森,
1818444808705024006,1818444808641974272,"Aluminium,castalloy",221.34,kg,,吴宇森,
1818444808705024007,1818444808641974272,"Aluminium,primary,ingot",0.06,kg,,吴宇森,
1818444808705024008,1818444808641974272,"Aluminium,wroughtalloy",1893.13,kg,,吴宇森,
1818444808705024009,1818444808641974272,"Argon,liquid",19.5,kg,,吴宇森,
1818444808705024010,1818444808641974272,Bariumsulfide,0.33,kg,,吴宇森,
1818444808705024011,1818444808641974272,"Battery,Li-ion,rechargeable,prismatic",3101.89,kg,,吴宇森,
1818444808705024012,1818444808641974272,Benzoicacid,0.64,kg,,吴宇森,
1818444808705024013,1818444808641974272,Benzylalcohol,20.88,kg,,吴宇森,
1818444808705024014,1818444808641974272,BisphenolAepoxybasedvinylesterresin,1.45,kg,,吴宇森,
1818444808705024015,1818444808641974272,"Calciumcarbonate,precipitated",192.63,kg,,吴宇森,
1818444808705024016,1818444808641974272,Carbonblack,0.02,kg,,吴宇森,
1818444808705024017,1818444808641974272,"Carbondioxide,liquid",5.21,kg,,吴宇森,
1818444808705024018,1818444808641974272,Castiron,1724.02,kg,,吴宇森,
1818444808705024019,1818444808641974272,Ceramictile,0.08,kg,,吴宇森,
1818444808705024020,1818444808641974272,Chromiumsteelpipe,245.28,kg,,吴宇森,
1818444808705024021,1818444808641974272,Copper-richmaterials,359.24,kg,,吴宇森,
1818444808705024022,1818444808641974272,Dicyclopentadienebasedunsaturatedpolyesterresin,7.02,kg,,吴宇森,
1818444808705024023,1818444808641974272,Diesel,0.5,kg,,吴宇森,
1818444808705024024,1818444808641974272,"Epoxyresininsulator,Al2O3",37.52,kg,,吴宇森,
1818444808705024025,1818444808641974272,"Epoxyresin,liquid",30.13,kg,,吴宇森,
1818444808705024026,1818444808641974272,Fattyacid,0.64,kg,,吴宇森,
1818444808705024027,1818444808641974272,"Ferrochromium,highcarbon,55%Cr",25.4,kg,,吴宇森,
1818444808705024028,1818444808641974272,"Flatglass,coated",894.0,kg,,吴宇森,
1818444808705024029,1818444808641974272,Glassfibre,0.35,kg,,吴宇森,
1818444808705024030,1818444808641974272,Glassfibrereinforcedplastic,298.95,kg,,吴宇森,
1818444808705024031,1818444808641974272,Graphite,11.69,kg,,吴宇森,
1818444808705024032,1818444808641974272,"Gypsum,mineral",0.64,kg,,吴宇森,
1818444808705024033,1818444808641974272,Limestone,2.16,kg,,吴宇森,
1818444808705024034,1818444808641974272,Lithiumhexafluorophosphate,13.68,kg,,吴宇森,
1818444808705024035,1818444808641974272,Lubricatingoil,8.29,kg,,吴宇森,
1818444808705024036,1818444808641974272,Maleicunsaturatedpolyesterresin,78.84,kg,,吴宇森,
1818444808705024037,1818444808641974272,Nylon6,17.86,kg,,吴宇森,
1818444808705024038,1818444808641974272,Nylon6-6,12.73,kg,,吴宇森,
1818444808705024039,1818444808641974272,"Oxygen,liquid",16.94,kg,,吴宇森,
1818444808705024040,1818444808641974272,Polycarbonate,72.68,kg,,吴宇森,
1818444808705024041,1818444808641974272,"Polyesterresin,unsaturated",0.69,kg,,吴宇森,
1818444808705024042,1818444808641974272,"Polyethyleneterephthalate,granulate,amorphous",631.72,kg,,吴宇森,
1818444808705024043,1818444808641974272,"Polyethyleneterephthalate,granulate,bottlegrade",21.51,kg,,吴宇森,
1818444808705024044,1818444808641974272,"Polyethylene,highdensity,granulate",52.67,kg,,吴宇森,
1818444808705024045,1818444808641974272,"Polyethylene,lowdensity,granulate",9.95,kg,,吴宇森,
1818444808705024046,1818444808641974272,Polyphenylenesulfide,5.97,kg,,吴宇森,
1818444808705024047,1818444808641974272,"Polypropylene,granulate",108.44,kg,,吴宇森,
1818444808705024048,1818444808641974272,"Polyurethane,flexiblefoam",111.86,kg,,吴宇森,
1818444808705024049,1818444808641974272,"Polyurethane,rigidfoam",155.09,kg,,吴宇森,
1818444808705024050,1818444808641974272,"Polyvinylchloride,bulkpolymerised",383.8,kg,,吴宇森,
1818444808705024051,1818444808641974272,Rareearthoxideconcentrate,9.2,kg,,吴宇森,
1818444808705024052,1818444808641974272,"Rutile,95%titaniumdioxide",0.02,kg,,吴宇森,
1818444808705024053,1818444808641974272,Siliconeproduct,43.58,kg,,吴宇森,
1818444808705024054,1818444808641974272,"Steel,chromiumsteel18/8",54.33,kg,,吴宇森,
1818444808705024055,1818444808641974272,"Steel,low-alloyed",672.3,kg,,吴宇森,
1818444808705024056,1818444808641974272,"Steel,low-alloyed,hotrolled",8.23,kg,,吴宇森,
1818444808705024057,1818444808641974272,"Steel,unalloyed",7314.66,kg,,吴宇森,
1818444808705024058,1818444808641974272,Styrene,11.82,kg,,吴宇森,
1818444808705024059,1818444808641974272,Sulfuricacid,0.23,kg,,吴宇森,
1818444808705024060,1818444808641974272,Syntheticrubber,648.81,kg,,吴宇森,
1818444808705024061,1818444808641974272,"Textile,non-wovenpolyester",150.52,kg,,吴宇森,
1818444808705024062,1818444808641974272,Zinc,0.05,kg,,吴宇森,
1818846141169803264,1818846141081587712,RE-PET,83.33,%,,吴宇森,
1818846141169803265,1818846141081587712,Co-polyester B,8.24,%,,吴宇森,
1818846141169803266,1818846141081587712,Cp-polyester A,4.48,%,,吴宇森,
1818846141169803267,1818846141081587712,Others,3.95,%,,吴宇森,
1818846141169803268,1818846141081587712,Weight,100.0,%,,吴宇森,
1818846335819063296,1818846335667933184,PA6chip,0.95,kg,,吴宇森,
